tf,ticker,entry,exit,pnl,status,rules,regime,sample
H4,SNGS,2025-03-04 13:00:00,2025-03-06 17:00:00,-23491.6,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SNGS,2025-08-05 09:00:00,2025-08-06 05:00:00,-7098.17,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,SNGS,2026-03-19 05:00:00,2026-03-19 09:00:00,-11497.56,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
D1,SBER,2025-04-10 21:00:00,2025-04-23 21:00:00,28134.82,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,SBER,2025-11-18 21:00:00,2025-11-24 21:00:00,5928.04,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
D1,SBER,2026-01-15 21:00:00,2026-01-23 21:00:00,16031.89,WIN,osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
D1,GAZP,2024-04-01 21:00:00,2024-04-14 21:00:00,-5474.9,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
D1,GAZP,2025-10-15 21:00:00,2025-10-19 21:00:00,12000.99,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
D1,LKOH,2025-10-15 21:00:00,2025-10-19 21:00:00,30121.14,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,NVTK,2023-09-26 21:00:00,2023-10-03 21:00:00,30526.39,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
D1,NVTK,2023-12-04 21:00:00,2023-12-13 21:00:00,-55119.59,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
D1,NVTK,2025-10-14 21:00:00,2025-10-20 21:00:00,26892.92,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,ROSN,2025-10-15 21:00:00,2025-10-21 21:00:00,-51710.66,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,ROSN,2026-06-01 21:00:00,2026-06-08 21:00:00,-63282.46,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,TATN,2026-02-27 21:00:00,2026-03-03 21:00:00,88665.95,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,volatile,OOS
D1,TATN,2026-03-08 21:00:00,2026-03-09 21:00:00,-19758.69,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
D1,TATN,2026-03-19 21:00:00,2026-03-30 21:00:00,14661.86,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
D1,TATN,2026-05-11 21:00:00,2026-05-19 21:00:00,30368.14,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,volatile,OOS
D1,MGNT,2025-02-10 21:00:00,2025-02-13 21:00:00,6144.31,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
D1,MOEX,2025-04-21 21:00:00,2025-04-24 21:00:00,6212.38,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
D1,MOEX,2026-01-16 21:00:00,2026-01-23 21:00:00,22804.66,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
D1,MOEX,2026-01-26 21:00:00,2026-01-27 21:00:00,-8751.08,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
D1,CHMF,2023-12-25 21:00:00,2024-01-03 21:00:00,31823.83,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
D1,ALRS,2025-02-10 21:00:00,2025-02-13 21:00:00,43741.73,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
D1,ALRS,2025-03-01 21:00:00,2025-03-23 21:00:00,-55403.02,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,volatile,OOS
